video_id,frame_number,child_id,kchi_present,age,face_present,person_age_class_1,person_age_class_2,gaze_direction_1,gaze_direction_2
278,3700,260539,0,3.88,0,child,,,
278,3730,260539,0,3.88,0,child,,,
278,3870,260539,0,3.88,0,child,,,
278,4520,260539,0,3.88,0,child,,,
278,4610,260539,0,3.88,0,child,,,
278,6100,260539,0,3.88,0,child,,,
278,6920,260539,0,3.88,0,child,,,
278,7520,260539,0,3.88,0,child,,,
278,7540,260539,0,3.88,0,child,,,
278,7740,260539,1,3.88,0,child,,,
278,7770,260539,1,3.88,0,child,,,
278,9740,260539,1,3.88,0,child,,,
278,10940,260539,0,3.88,0,child,,,
278,11350,260539,0,3.88,0,child,,,
278,12080,260539,0,3.88,0,child,,,
278,12380,260539,0,3.88,0,child,,,
278,12590,260539,0,3.88,0,child,,,
278,14720,260539,0,3.88,0,child,,,
278,16430,260539,0,3.88,0,child,,,
278,18160,260539,1,3.88,0,child,,,
278,18330,260539,1,3.88,0,child,,,
278,19400,260539,1,3.88,0,,,,
278,19780,260539,0,3.88,0,child,,,
282,730,260694,0,4.13,0,child,,,
282,2120,260694,0,4.13,0,,,,
282,3410,260694,0,4.13,0,adult,,,
282,3810,260694,0,4.13,0,child,,,
282,5030,260694,0,4.13,1,child,adult,0.0,1.0
282,5050,260694,0,4.13,0,child,,,
282,5600,260694,0,4.13,0,,,,
282,6740,260694,0,4.13,1,child,,0.0,
282,7120,260694,0,4.13,1,child,,0.0,
282,8020,260694,0,4.13,1,adult,,1.0,
282,8370,260694,0,4.13,0,,,,
282,11080,260694,0,4.13,1,adult,,1.0,
282,13990,260694,0,4.13,1,child,,1.0,
282,15250,260694,0,4.13,0,adult,,,
282,16420,260694,0,4.13,0,adult,,,
282,16800,260694,0,4.13,1,adult,,1.0,
282,17090,260694,0,4.13,0,adult,,,
282,17550,260694,0,4.13,0,adult,,,
282,19160,260694,0,4.13,0,adult,,,
282,19560,260694,0,4.13,1,child,adult,1.0,
282,20440,260694,0,4.13,1,child,,1.0,
282,28530,260694,0,4.13,0,child,adult,,
282,28750,260694,0,4.13,0,adult,,,
282,35890,260694,0,4.13,0,adult,,,
286,2050,260772,0,4.83,0,adult,,,
286,4330,260772,0,4.83,0,,,,
286,4500,260772,0,4.83,0,child,,,
286,6530,260772,0,4.83,0,adult,,,
286,7990,260772,0,4.83,0,,,,
286,9170,260772,0,4.83,0,,,,
286,9620,260772,0,4.83,0,adult,,,
286,10990,260772,0,4.83,0,adult,,,
286,12950,260772,0,4.83,0,,,,
286,13880,260772,0,4.83,0,,,,
286,15120,260772,0,4.83,0,adult,,,
286,15410,260772,0,4.83,0,adult,,,
286,15630,260772,0,4.83,0,adult,,,
286,16590,260772,0,4.83,0,,,,
286,17450,260772,0,4.83,0,,,,
286,20390,260772,0,4.83,0,,,,
286,23990,260772,0,4.83,0,,,,
286,26990,260772,0,4.83,0,,,,
286,28790,260772,0,4.83,0,,,,
286,30980,260772,0,4.83,0,,,,
286,31990,260772,0,4.83,0,,,,
286,36430,260772,0,4.83,0,child,,,
286,40420,260772,0,4.83,0,,,,
